UserID;Date;Time;InOut;EmpNo

1;5/13/2016;17:13:41;Break;
1;5/13/2016;17:13:41;Break;
1;5/13/2016;17:13:41;Break;
47;5/13/2016;17:14:56;Break;
384;5/13/2016;17:15:16;Break;
74;5/13/2016;17:15:23;Break;
129;5/13/2016;17:15:37;Break;
291;5/13/2016;17:15:59;Break;
16;5/13/2016;17:16:01;Break;
17;5/13/2016;17:16:04;Break;
54;5/13/2016;17:16:37;Break;
1;5/13/2016;17:13:41;Break;
47;5/13/2016;17:14:56;Break;
384;5/13/2016;17:15:16;Break;
74;5/13/2016;17:15:23;Break;
129;5/13/2016;17:15:37;Break;
291;5/13/2016;17:15:59;Break;
16;5/13/2016;17:16:01;Break;
17;5/13/2016;17:16:04;Break;
54;5/13/2016;17:16:37;Break;
110;5/13/2016;17:19:04;Break;
176;5/13/2016;17:19:21;Break;
153;5/13/2016;17:19:51;Break;
1;5/13/2016;17:20:08;Check In;
1;5/13/2016;17:13:41;Break;
47;5/13/2016;17:14:56;Break;
384;5/13/2016;17:15:16;Break;
74;5/13/2016;17:15:23;Break;
129;5/13/2016;17:15:37;Break;
291;5/13/2016;17:15:59;Break;
16;5/13/2016;17:16:01;Break;
17;5/13/2016;17:16:04;Break;
54;5/13/2016;17:16:37;Break;
110;5/13/2016;17:19:04;Break;
176;5/13/2016;17:19:21;Break;
153;5/13/2016;17:19:51;Break;
1;5/13/2016;17:20:08;Check In;
163;5/13/2016;17:21:11;Break;
231;5/13/2016;17:21:48;Break;
231;5/13/2016;17:21:50;Break;
1;5/13/2016;17:22:02;Check Out;
1;5/13/2016;17:22:13;Break;
1;5/13/2016;17:22:28;Resume;
100;5/13/2016;17:22:47;Resume;
1;5/13/2016;17:13:41;Break;
47;5/13/2016;17:14:56;Break;
384;5/13/2016;17:15:16;Break;
74;5/13/2016;17:15:23;Break;
129;5/13/2016;17:15:37;Break;
291;5/13/2016;17:15:59;Break;
16;5/13/2016;17:16:01;Break;
17;5/13/2016;17:16:04;Break;
54;5/13/2016;17:16:37;Break;
110;5/13/2016;17:19:04;Break;
176;5/13/2016;17:19:21;Break;
153;5/13/2016;17:19:51;Break;
1;5/13/2016;17:20:08;Check In;
163;5/13/2016;17:21:11;Break;
231;5/13/2016;17:21:48;Break;
231;5/13/2016;17:21:50;Break;
1;5/13/2016;17:22:02;Check Out;
1;5/13/2016;17:22:13;Break;
1;5/13/2016;17:22:28;Resume;
100;5/13/2016;17:22:47;Resume;
61;5/13/2016;17:24:16;Break;
1;5/13/2016;17:24:29;Resume;
137;5/13/2016;17:24:36;Resume;
58;5/13/2016;17:24:42;Resume;
364;5/13/2016;17:24:49;Resume;
72;5/13/2016;17:25:17;Break;
